date,donee,donee_url,description,program_area,focus,amount
03/2017,Kitchen Table Campaigns,http://www.saferchemicals.org/,"To enable Safer Chemicals, Healthy Families to participate in regulatory rulemaking to implement the new federal chemicals law, and to significantly improve the largest US retailers’ management of chemicals in their products and supply chains.",Health and Environment,,"$400,000"
03/2017,Sierra Club Foundation,http://www.sierraclubfoundation.org/,To accelerate adoption of plug-in electric vehicles in Connecticut and Massachusetts as part of a nationwide campaign to build a national electric vehicle market.,Clean Energy,Transportation,"$75,000"
03/2017,Clean Energy States Alliance,http://www.cesa.org/,To facilitate successful implementation of Northeast state road maps for wind power development to accelerate the pace and lower the cost of offshore wind facilities installations.,Clean Energy,Efficiency/Renewables,"$50,000"
03/2017,Interreligious Eco-Justice Network,http://www.ctclimateandjobs.org/,To enable the Connecticut Roundtable on Climate and Jobs to work to secure a new climate plan and energy strategy for Connecticut and build support for clean energy policy among labor and faith communities.,Clean Energy,Efficiency/Renewables,"$30,000"
03/2017,Natural Resources Council of Maine,http://www.nrcm.org/,"To increase and implement energy efficiency investments, defend solar power and renewable energy policies, strengthen the Regional Greenhouse Gas Initiative, and promote electric vehicles in Maine.",Clean Energy,Efficiency/Renewables,"$60,000"
03/2017,New Hampshire Sustainable Energy Association,http://www.nhsea.org/,To protect and expand clean energy and efficiency policies in New Hampshire and broaden support for these policies among business and opinion leaders.,Clean Energy,Efficiency/Renewables,"$50,000"
03/2017,Regulatory Assistance Project,http://www.raponline.org/,To support New England power sector decisionmakers in formulating and implementing policies that facilitate a transition to a low-carbon electricity sector.,Clean Energy,Efficiency/Renewables,"$100,000"
03/2017,Conservation Law Foundation,http://www.clf.org/,To ensure that New England decarbonizes the energy system in order to meet climate goals.,Clean Energy,Efficiency/Renewables,"$325,000"
03/2017,Environment America Research and Policy Center,http://www.environmentamericacenter.org/,To promote emission reductions of global warming pollution 80 percent by 2050 and build support to transition New England to 100 percent renewable energy by mid-century.,Clean Energy,Efficiency/Renewables,"$75,000"
03/2017,Neighbor to Neighbor Massachusetts Education Fund,http://www.n2nma.org,To build and deepen a coalition of environmental justice organizations and their constituencies to actively support climate and clean energy policies in Massachusetts.,Clean Energy,Efficiency/Renewables,"$35,000"
03/2017,Toxics Action Center,http://www.mapowerforward.com/,"To support Massachusetts Power Forward, a statewide grassroots campaign that calls on Massachusetts policymakers to commit to clean energy and avoid unnecessary expansion of fossil fuel infrastructure.",Clean Energy,Efficiency/Renewables,"$100,000"
03/2017,Pipe Line Awareness Network for the Northeast,http://www.plan4ne.wordpress.com/,"To prevent unnecessary natural gas infrastructure development in New England, and ensure that any necessary gas infrastructure is appropriately sited.",Clean Energy,Reduce Fossil Fuel Use,"$50,000"
12/2016,RTI International,http://www.rti.org/,"To build the infrastructure for a newborn screening program in North Carolina that includes Fragile X syndrome. First year of a six-year, $2.6 million grant.",Developmental Disabilities,Research to Clinical Practice Program,"$500,000"
12/2016,Vermont Energy Investment Corporation,http://www.veic.org/,To accelerate the deployment of plug-in electric vehicles in Vermont.,Clean Energy,Transportation,"$100,000"
12/2016,FoodCorps,http://www.foodcorps.org/,To increase local food procurement at public schools in Connecticut.,Regional Food Systems,,"$30,000"
12/2016,Land for Good,http://www.landforgood.org/,"To lead and support multi-stakeholder efforts to advance specific farmland policies at the municipal, state, regional, and federal levels in collaboration with American Farmland Trust and Conservation Law Foundation.",Regional Food Systems,,"$45,000"
12/2016,Land for Good,http://www.landforgood.org/,"To improve farmland access, transfer, and tenure for beginning and established farmers through direct technical assistance, effective education and resources, and regional collaboration.",Regional Food Systems,,"$30,000"
12/2016,Northeast Sustainable Agriculture Working Group,http://www.nesawg.org/,To implement elements of the recently completed strategic plan.,Regional Food Systems,,"$35,000"
12/2016,Safer States,http://www.saferstates.com/,To support grassroots coalitions in Connecticut and Minnesota focused on eliminating toxic chemicals from consumer products.,Health and Environment,,"$100,000"
12/2016,Toxic-Free Future,http://www.toxicfreefuture.org/,"To ensure that Washington State implements its new comprehensive flame retardant policy, supports other state administrative actions to reduce toxic chemical exposures, and participates in national market-oriented campaigns such as Mind the Store.",Health and Environment,,"$225,000"
12/2016,Oregon Environmental Council,http://www.oeconline.org/,To secure strong implementation of the Toxic-Free Kids Act through the final phase of rulemaking and launch a campaign for a state procurement program that includes provisions to measure and track the impact of safer product purchasing.,Health and Environment,,"$75,000"
12/2016,University of Connecticut Foundation,http://www.foundation.uconn.edu/,To assist Connecticut School Food Authorities in modifying the legal framework for procurement and improving various procurement tools to expand purchase of locally-grown products.,Regional Food Systems,,"$25,000"
12/2016,Plug In America,http://www.pluginamerica.org/,To increase public awareness and experience of plug-in electric vehicles throughout New England and develop a self-sustaining outreach and education program.,Clean Energy,Transportation,"$75,000"
12/2016,Acadia Center,http://www.acadiacenter.org/,"To sustain New England as a clean energy leader by promoting investments in efficiency and renewable energy, strengthening the Regional Greenhouse Gas Initiative, putting a price on carbon, opposing expansion of natural gas pipelines, accelerating deployment of electric vehicles, and promoting new utility models.",Clean Energy,Increase Efficiency/Renewables,"$300,000"
12/2016,Vermont Public Interest Research and Education Fund,http://www.vpirg.org/,To advance renewable energy solutions and defend Vermont’s climate and clean energy goals.,Clean Energy,Increase Efficiency/Renewables,"$50,000"
12/2016,Connecticut Fund for the Environment,http://www.ctenvironment.org/,To ensure that Connecticut achieves its long-term climate stabilization goals by developing distributed energy from renewable sources and accelerating adoption of electric vehicles.,Clean Energy,Transportation,"$100,000"
12/2016,Migrant Justice,http://www.migrantjustice.net/,"To implement the Milk with Dignity Program in Ben & Jerry’s supply chain, providing higher milk prices to 10 percent of the state’s dairy farms and raising wages, improving labor standards, and ensuring dignified housing conditions for approximately 300 dairy immigrant farmworkers.",Regional Food Systems,,"$50,000"
12/2016,Intervale Center,http://www.intervale.org/,To increase the amount of Vermont-produced food entering the institutional market via distribution businesses and to achieve financial viability for its food hub.,Regional Food Systems,,"$25,000"
12/2016,Cooperative Development Institute,http://www.cdi.coop/,"To support immigrant farmers in Lewiston-Auburn, Maine, with technical assistance to access farmland and then sell their products into wholesale markets, including institutions, as well as directly to consumers.",Regional Food Systems,,"$30,000"
12/2016,Northeast States Coordinated for Air Use Management,http://www.nescaum.org/,To provide analytical support and policy guidance that assist states in updating a regional climate change action plan to spur further shifts toward renewable energy and efficiency in New England.,Clean Energy,Increase Efficiency/Renewables,"$75,000"
10/2016,Vermont Public Interest Research and Education Fund,http://www.vpirg.org/,To establish a price on carbon pollution in Vermont.,Clean Energy,,"$75,000"
10/2016,SmartPower,http://www.smartpower.org/,To increase adoption of residential solar power in Rhode Island.,Clean Energy,Efficiency/Renewables,"$75,000"
10/2016,Maine Farmland Trust,http://www.mainefarmlandtrust.org/,To help Maine farmers scale up to access and serve wholesale markets.,Regional Food Systems,,"$60,000"
10/2016,Healthy Building Network,http://www.healthybuilding.net/,"To accelerate the building sector’s use of public database tools that increase transparency about materials, thereby encouraging greater use of safe, nontoxic materials in buildings.",Health and Environment,,"$200,000"
10/2016,Health Care Without Harm,http://www.noharm.org/,To increase the amount of local food being purchased by health care facilities in New England.,Regional Food Systems,,"$125,000"
10/2016,Farm Fresh Rhode Island,http://www.farmfreshri.org/,"To continue the Harvest of the Month promotion program, and to analyze the effect of program participation on institutional purchases of local food.",Regional Food Systems,,"$25,000"
10/2016,Energy Action Network,http://www.eanvt.org/,"To establish clean, affordable, and secure electric, heating, and transportation systems that meet Vermont’s goal of 90 percent renewable energy by 2050.",Clean Energy,,"$50,000"
10/2016,Energize Rhode Island,http://www.energizeri.org/home.html,To establish a price on carbon.,Clean Energy,,"$50,000"
10/2016,Earthjustice,http://www.earthjustice.org/,"To participate in regulatory rulemaking so that the Chemical Safety Act is interpreted, implemented, and enforced in as health-protective, transparent, and equitable a manner as possible.",Health and Environment,,"$75,000"
10/2016,Coalition for Green Capital,http://www.coalitionforgreencapital.com/,To help establish a Massachusetts green bank and to facilitate federal capital flow to New England’s green banks.,Clean Energy,,"$75,000"
10/2016,Clean Production Action,http://www.cleanproduction.org/,To transform corporate management of chemicals through policies and procedures that institutionalize demand for safer chemicals in products and supply chains.,Health and Environment,,"$100,000"
10/2016,Chambers for Innovation and Clean Energy,http://www.chambersforinnovation.com/,To activate Massachusetts chambers of commerce to invest in and support clean energy.,Clean Energy,,"$75,000"
10/2016,Clean Water Fund,http://www.cleanwaterfund.org/,To coordinate a coalition of public interest organizations attempting to establish a price on carbon in Massachusetts.,Clean Energy,,"$75,000"
10/2016,University of Delaware Special Initiative on Offshore Wind,http://www.ceoe.udel.edu/about/affiliated-programs/special-initative-on-offshore-wind,"To convene policymakers, industry representatives, and advocates in the Northeast for the purpose of establishing offshore wind power along designated sections of the Massachusetts coastline.",Clean Energy,Efficiency/Renewables,"$50,000"
10/2016,Northeast States for Coordinated Air Use Management (NESCAUM),http://www.nescaum.org/,To accelerate deployment of electric vehicles in New England by supporting the eight-state Zero Emissions Vehicle Initiative to put 3.3 million electric vehicles on the road by 2030.,Clean Energy,Transportation,"$100,000"
10/2016,NECEC Institute,http://www.necec.org/about/necec-institute.html,"To further the growth of clean energy across New England through communication, policy, and market development.",Clean Energy,,"$150,000"
07/2016,Maine People’s Resource Center,http://www.mprc.me/,To educate Maine citizens about the undue influence of out-of-state corporate interests on social equity issues like raising the minimum wage and moving the state’s economy toward clean energy solutions to climate change.,Cross-Program,,"$50,000"
06/2016,University of Delaware Special Initiative on Offshore Wind,http://www.ceoe.udel.edu/about/affiliated-programs/special-initative-on-offshore-wind,To give Massachusetts policymakers direct experience of offshore wind power’s potential benefits and to provide them with the opportunity to learn from European officials about the regulatory needs of a nascent offshore wind power industry.,Clean Energy,Efficiency/Renewables,"$15,000"
06/2016,Food Connects,http://www.foodconnects.org/index.html,"To increase source-identified local food sales to institutions by identifying and overcoming logistical, technological, and market barriers via a pilot partnership among four small-scale food hubs surrounding Brattleboro, Vermont.",Regional Food Systems,,"$25,000"
06/2016,Red Tomato,http://www.redtomato.org/,"To build on current institutional sales, seek out new accounts, and begin to develop a “cross dock” distribution model that has the capacity to combine the benefits of direct delivery with the efficiencies of broadline distribution.",Regional Food Systems,,"$60,000"
06/2016,New Hampshire Community Loan Fund,http://www.communityloanfund.org/,"To facilitate local food purchases at hospitals, retailers, and other large customers through lending and financial training programs.",Regional Food Systems,,"$40,000"
06/2016,University of New Hampshire Foundation,http://www.nhfoodalliance.com/,To develop a systemic strategy and action plan for the New Hampshire Food Alliance Viability Initiative.,Regional Food Systems,,"$50,000"
06/2016,Real Food Challenge,http://www.realfoodchallenge.org/,"To support “Get Real, New England!”, which assists college and university students in their efforts to increase the purchases of regional, sustainable food products at their institutions.",Regional Food Systems,,"$65,000"
06/2016,Farm to Institution New England,http://www.farmtoinstitution.org/,"To increase the share of the region’s institutional market served by New England farms and food producers by facilitating regional coordination along the institutional value chain among producers, food hubs, midscale processors, traditional and new distribution channels, procurement officials, and institutional and governmental decisionmakers.",Regional Food Systems,,"$200,000"
06/2016,Ecology Center,http://www.ecocenter.org/,"To develop product testing protocols and provide product testing services for several market-based projects and initiatives, including Mind the Store and other collaborative market campaigns aiming to eliminate target chemicals from consumer products.",Health and Environment,,"$100,000"
06/2016,Environmental Health Strategy Center,http://www.preventharm.org/,To develop a market-based campaign educating consumers about the dangers of phthalate contamination of popular dairy products in order to persuade the Food and Drug Administration to ban classes of neurotoxic and hormone-disrupting phthalates in food manufacturing.,Health and Environment,,"$225,000"
06/2016,National Caucus of Environmental Legislators,http://www.ncel.net/,"To educate and engage state-level policymakers from all parties about the human and environmental health hazards of toxic chemicals, and to inform state policymakers about federal policies and regulations that affect states’ abilities to regulate toxic chemicals.",Health and Environment,,"$40,000"
06/2016,State Alliance for Federal Reform of Chemicals Policy,http://www.saferstates.org/,To achieve a marketplace of safer products free of toxic chemicals.,Health and Environment,,"$150,000"
06/2016,League of Conservation Voters Education Fund,http://www.lcvef.org/?referrer=https://www.google.com/,"To educate and engage the public, the media, and key decisionmakers about the dangers of toxic chemicals; to build public support for chemicals policy reform at all levels; and to (eventually) help implement a new federal chemicals regulatory regime.",Health and Environment,,"$75,000"
06/2016,Natural Resources Defense Council,http://www.nrdc.org/,"To reduce the public’s exposure to toxic chemicals by participating in federal regulatory rulemaking, promoting state-level chemicals policies, motivating retailers and product manufacturers to adopt better internal chemical management policies, and building internal technical capacity to identify safer alternatives.",Health and Environment,,"$100,000"
06/2016,Union of Concerned Scientists,http://www.ucsusa.org,To promote market conditions that foster electric vehicle expansion in New England.,Clean Energy,Transportation,"$50,000"
06/2016,Georgetown Climate Center,http://www.georgetownclimate.org/,"To build public awareness of electric vehicle infrastructure improvements, ensure stable funding sources for continued infrastructure development, and analyze policy options for utility engagement in the electric transportation sector.",Clean Energy,Transportation,"$75,000"
06/2016,Vermont Law School,http://www.vermontlaw.edu/,"To scale up community solar development by improving policies and providing technical assistance to communities, installers, and state and regional organizations.",Clean Energy,Efficiency/Renewables,"$80,000"
06/2016,Vote Solar,http://www.votesolar.org/,"To stimulate solar power growth in New England states by developing, implementing, and expanding key policies while amplifying public support for clean, local energy.",Clean Energy,Efficiency/Renewables,"$75,000"
06/2016,Pace Energy and Climate Center,http://www.energy.pace.edu/,To provide policymakers and advocates with analysis on the value of solar power to the electric system in order to promote policy approaches that will ensure renewable energy growth in New England.,Clean Energy,Efficiency/Renewables,"$60,000"
06/2016,Energy Foundation,http://www.ef.org/,To support engagement of key industry and environmental interests on the Regional Greenhouse Gas Initiative Program Review.,Clean Energy,,"$75,000"
06/2016,National Wildlife Federation,http://www.nwf.org/Northeast.aspx,To build the public support needed to build offshore wind power capacity in New England.,Clean Energy,Efficiency/Renewables,"$100,000"
06/2016,Northeast Energy Efficiency Partnerships,http://http://www.neep.org/,"To maintain energy efficiency as the foundation and core component of clean energy policies, programs, and services across New England.",Clean Energy,,"$125,000"
06/2016,Toxics Action Center,http://www.toxicsaction.org/,"To support the Campaign for a Fossil Free New England, specifically focused on closing coal plants, preventing expansion of natural gas infrastructure, and ensuring that these objectives are incorporated into the Regional Greenhouse Gas Initiative.",Clean Energy,Reduce Fossil Fuel Use,"$110,000"
06/2016,Clean Water Fund,http://www.cleanwaterfund.org/,"To place the retiring Brayton Point coal plant on a redevelopment path redevelopment that helps reach Massachusetts’ climate goals, supports economic vitality in the local community, and serves as a model for investments in next generation clean energy technology.",Clean Energy,Reduce Fossil Fuel Use,"$45,000"
06/2016,Healthy Babies Bright Futures,http://www.hbbf.org,"To design and implement projects that reduce babies’ exposure to toxic chemicals during the most vulnerable and significant periods of development: in utero, and from birth to age two.",Health and Environment,,"$650,000"
06/2016,Silent Spring Institute,http://www.silentspring.org/,"To assist in the implementation of the updated Boston fire code pertaining to toxic flame retardants, continue research on toxic flame retardant exposures among college students, and disseminate the research findings.",Health and Environment,,"$80,000"
06/2016,Coming Clean,http://www.comingcleaninc.org/,"To identify safer alternatives to toxic flame retardants and to promote their use, and support Coming Clean’s function as a network and communications hub for a diverse set of stakeholders in the environmental health and justice movement.",Health and Environment,,"$175,000"
06/2016,International Chemical Secretariat,http://www.chemsec.org/,To lower the bar for engagement among companies seeking safer substitutes for hazardous chemicals.,Health and Environment,,"$100,000"
06/2016,University of Massachusetts Lowell Center for Sustainable Production,http://www.uml.edu/research/lowell-center/,"To implement the Green Chemistry and Commerce Council’s Agenda to Mainstream Green Chemistry, which includes building policy and funding leadership for green chemistry, growing innovation and collaboration communities, and engaging chemical suppliers and major purchasers in removing barriers to scaling green chemistry solutions.",Health and Environment,,"$75,000"
06/2016,Learning Disabilities Association of America,http://www.ldaamerica.org/,"To advocate for the strongest possible protection from neurotoxic chemical exposure for infants, children, and pregnant women in order to prevent learning disabilities.",Health and Environment,,"$110,000"
03/2016,Northeast Organic Farming Association of Vermont,http://www.nofavt.org/,To build momentum for institutional local and regional food purchasing in Vermont and around New England.,Regional Food Systems,,"$70,000"
03/2016,Maine Food Strategy,http://www.mainefoodstrategy.org,"To identify shared goals and objectives that build a healthier, more sustainable food system for all Maine residents.",Regional Food Systems,,"$25,000"
03/2016,Vermont Sustainable Jobs Fund,http://www.vsjf.org,To foster greater coordination and collaboration among organizations across Vermont that are working to achieve the 25 goals of Vermont’s Farm to Plate Strategic Plan by 2020.,Regional Food Systems,,"$100,000"
03/2016,Massachusetts Food System Collaborative,http://www.mafoodsystem.org/,To build policymaker and public support for the Massachusetts Food System Plan’s goals and recommendations; make progress on specific recommendations; and grow the statewide network of engaged and connected food system stakeholders.,Regional Food Systems,,"$40,000"
03/2016,University of New Hampshire Foundation,http://www.sustainableunh.unh.edu/,To enable the UNH Sustainability Institute to extend the Food Solutions New England network into diverse communities and to undertake activities that address key leverage areas identified through an extensive systems mapping process.,Regional Food Systems,,"$75,000"
03/2016,Maine Organic Farmers and Gardeners Association,http://www.mofga.org,"To ensure that Maine farmers and food producers are able to increase production, particularly in Aroostook County, as demand grows for healthy, sustainable, and organic food throughout the region.",Regional Food Systems,,"$65,000"
03/2016,Clean Production Action,http://www.cleanproduction.org/,To support the Chemical Footprint Project’s efforts to set the global standard for measuring corporate progress toward safer chemicals.,Health and Environment,,"$210,000"
03/2016,Columbia Center for Children’s Environmental Health,http://www.ccceh.org,"To further analyze study data measuring whether changes in personal behavior resulted in a reduction of flame retardant exposure, and to report findings to study participants.",Health and Environment,,"$85,000"
03/2016,Green Blue Institute,http://www.greenblue.org/,"To provide high quality, in-depth sustainability information about chemicals, mixtures, and materials used for a diverse array of products and industrial sectors.",Health and Environment,,"$40,000"
03/2016,Vermont Public Interest Research and Education Fund,http://www.vpirg.org/,To ensure that Vermont’s chemical regulations are fully implemented and to apply mandatory corporate reporting to compel manufactures to adopt safer alternatives in their products.,Health and Environment,,"$50,000"
03/2016,Clean and Healthy New York,http://www.cleanhealthyny.org/,"To promote consumer products free of toxic chemicals, particularly when they affect children, by advancing policy and market solutions in New York State.",Health and Environment,,"$50,000"
03/2016,Responsible Purchasing Network,http://www.responsiblepurchasing.org/,To develop and implement model policies and practices that increase the purchase of products free of priority chemicals.,Health and Environment,,"$90,000"
03/2016,Center for Environmental Health,http://www.ceh.org/,"To reduce the use of the three most harmful classes of chemicals found in furniture—flame retardants, stain repellants, and microbicides—by accelerating market demand for furniture without these chemicals among large private and public customers.",Health and Environment,,"$75,000"
03/2016,Kitchen Table Campaigns,http://www.saferchemicals.org/,"To enable Safer Chemicals, Healthy Families to educate the public about federal chemicals policy and to significantly improve chemicals management of the largest retailers in the United States.",Health and Environment,,"$350,000"
03/2016,Interreligious Eco-Justice Network,http://www.irejn.org/,To help secure a new climate change action plan for Connecticut that incorporates aggressive interim targets and a commitment to climate equity and job creation.,Clean Energy,,"$25,000"
03/2016,Natural Resources Council of Maine,http://www.nrcm.org,"To increase energy efficiency investments, establish a comprehensive solar policy, and continue Maine’s involvement in and strengthening of the Regional Greenhouse Gas Initiative.",Clean Energy,Increase Efficiency/Renewables,"$60,000"
03/2016,New Hampshire Sustainable Energy Association,http://www.nhsea.org/,"To protect and expand clean energy and efficiency policies in New Hampshire and broaden support for these policies among business and opinion leaders, and other key constituencies.",Clean Energy,Increase Efficiency/Renewables,"$50,000"
03/2016,Environment America Research and Policy Center,http://www.environmentamericacenter.org/,"To put New England on a trajectory that reduces greenhouse gases 80 percent by 2050, by expanding solar power, securing climate commitments, advancing offshore wind, and defending clean energy policies throughout the region.",Clean Energy,,"$90,000"
03/2016,Regulatory Assistance Project,http://www.raponline.org/,"To support New England power sector decisionmakers in formulating and implementing strategies, policies, and regulations that facilitate a transition to a low-carbon electricity sector; and to make New England a national leader on clean energy policy and a model for other states and regions.",Clean Energy,,"$100,000"
03/2016,Toxics Action Center,http://www.toxicsaction.org/,"To support the Mass Power Forward grassroots campaign on behalf of clean energy policy in Massachusetts, which excludes major expansion of the fossil fuel infrastructure",Clean Energy,Reduce Fossil Fuel Use,"$100,000"
03/2016,Conservation Law Foundation,http://www.clf.org,To maintain New England’s leadership in decarbonizing the energy system as a means of meeting the region’s climate change goals.,Clean Energy,,"$325,000"
03/2016,Pipe Line Awareness Network for the Northeast,http://www.plan4ne.wordpress.com/,To prevent overbuilding New England’s natural gas infrastructure by stopping the Kinder Morgan pipeline project.,Clean Energy,Reduce Fossil Fuel Use,"$50,000"
03/2016,Neighbor to Neighbor Massachusetts Education Fund,http://www.n2nma.org/en/,To continue involvement in the Mt. Tom coal plant’s retirement by securing cleanup of the on-site coal ash.,Clean Energy,Reduce Fossil Fuel Use,"$30,000"
03/2016,Sierra Club Foundation,http://www.sierraclubfoundation.org/,To accelerate adoption of plug-in electric vehicles in Connecticut and Massachusetts as part of a national campaign to build the consumer market for  electric vehicles.,Clean Energy,Transportation,"$75,000"
12/2015,Healthy Babies Bright Futures,http://www.hbbf.org,"To reduce babies’ exposures to toxic chemicals during the first 1,000 days of development, a highly critical period that can determine future health outcomes.",Health and Environment,Healthy Babies Bright Futures,"$345,000"
12/2015,Acadia Center,http://www.acadiacenter.org/,"To sustain New England’s role as a leader on clean energy by promoting investments in efficiency and renewable energy, strengthening RGGI, putting a price on carbon, opposing expansion of natural gas pipelines, accelerating deployment of electric vehicles, and promoting new utility business models.",Clean Energy,Increase Efficiency/Renewables,"$250,000"
12/2015,Arc of Washington State,http://www.arcwa.org/,"To promote health-based policies on toxic flame retardants and support administrative actions on other toxic chemicals in Washington State; play a key role in the national Mind the Store campaign; advance meaningful chemicals policy reform at the federal level, and carry out and release scientific studies to move the policy debate forward.",Health and Environment,,"$10,000"
12/2015,Citizens Campaign Fund for the Environment,http://www.citizenscampaign.org/about.asp,"To raise awareness in Connecticut of the impacts of toxic chemical exposures from consumer products and to press for market changes, purchasing practices, and updated policies that decrease those exposures.",Health and Environment,,"$5,000"
12/2015,Clean Water Fund,http://www.cleanwaterfund.org,"To raise awareness in Connecticut of the impacts of toxic chemical exposure in consumer products and to press for market changes, purchasing practices, and updated policies that decrease this exposure.",Health and Environment,,"$67,000"
12/2015,Clean Water Fund of Minnesota,http://www.cleanwateraction.org,To create safer products through market and policy change in Minnesota.,Health and Environment,,"$25,000"
12/2015,Connecticut Citizen Research Group,http://www.ccag.net,"To raise awareness in Connecticut of the impacts of toxic chemical exposures from consumer products and to press for market changes, purchasing practices, and updated policies that decrease those exposures.",Health and Environment,,"$9,000"
12/2015,Connecticut Coalition for Environmental Justice,http://www.environmental-justice.org,"To raise awareness in Connecticut of the impacts of toxic chemical exposures from consumer products and to press for market changes, purchasing practices, and updated policies that decrease those exposures.",Health and Environment,,"$5,000"
12/2015,Connecticut Council on Occupational Safety and Health,http://www.connecticosh.org/,"To raise awareness in Connecticut of the impacts of toxic chemical exposures from consumer products and to press for market changes, purchasing practices, and updated policies that decrease those exposures.",Health and Environment,,"$9,000"
12/2015,Connecticut Fund for the Environment,http://http://www.ctenvironment.org/,"To reduce greenhouse gas emissions in Connecticut by: developing clean distributed energy resources, accelerating adoption of electric vehicles, and stopping plans for a major expansion of natural gas.",Clean Energy,Increase Efficiency/Renewables,"$100,000"
12/2015,Connecticut Nurses Foundation,http://www.ctnurses.org,"To raise awareness in Connecticut of the impacts of toxic chemical exposures from consumer products and to press for market changes, purchasing practices, and updated policies that decrease those exposures.",Health and Environment,,"$5,000"
12/2015,Conservation Minnesota,http://www.conservationminnesota.org,To create safer products through market and policy change in Minnesota.,Health and Environment,,"$75,000"
12/2015,Earth Ministry,http://www.earthministry.org/,"To promote health-based policies on toxic flame retardants and support administrative actions on other toxic chemicals in Washington State; play a key role in the national Mind the Store campaign, support meaningful chemicals policy reform at the federal level, and carry out and release scientific studies to move the policy debate forward.",Health and Environment,,"$25,000"
12/2015,Farm to Institution New England,http://www.farmtoinstitution.org,"To provide training and technical assistance for New England food processors interested in entering or expanding institutional markets, and to connect them with potential institutional buyers.",Regional Food Systems,,"$40,000"
12/2015,FoodCorps,http://www.foodcorps.org,"To launch FoodCorps’ first field office, recruit two leadership staff to run a scaled-up program with twenty corps members, and shift institutional food procurement decisions in New England.",Regional Food Systems,,"$50,000"
12/2015,Health and Environmental Funders Network,http://www.hefn.org,To evaluate almost a decade of public interest efforts to reform US chemicals policy; and to use the evaluation to help HEFN members develop short- and long-term plans for the next stage of strategic investments and collaborations to accelerate health-protective solutions to hazards from toxic chemicals.,Health and Environment,,"$50,000"
12/2015,Healthy Babies Bright Futures,http://www.hbbf.org,"To reduce babies’ exposures to toxic chemicals during the first 1,000 days of development, a highly critical period that can determine future health outcomes.",Health and Environment,Healthy Babies Bright Futures,"$230,000"
12/2015,Healthy Babies Bright Futures,http://www.hbbf.org,"To move key markets away from toxic flame retardants to safer alternatives, starting with reducing the use of toxic flame retardants in significant sources of exposure to women and children—furniture, children’s products, and building insulation.",Health and Environment,Healthy Babies Bright Futures,"$200,000"
12/2015,Jordan Institute,http://www.jordaninstitute.org,To launch a statewide energy efficiency and renewable energy finance program in New Hampshire and provide analysis on policies that encourage investments in clean energy.,Clean Energy,Increase Efficiency/Renewables,"$75,000"
12/2015,Land for Good,http://www.landforgood.org,"To improve farmland access and expedite land transfer and tenure for beginning and established farmers through direct technical assistance, more effective education and resources, and regional collaboration.",Regional Food Systems,,"$33,000"
12/2015,Land for Good,http://www.landforgood.org,"To lead and support multi-stakeholder cooperation that advances public policies that improve farmland access and transfer at municipal, state, regional, and federal levels.",Regional Food Systems,,"$45,000"
12/2015,Learning Disabilities Association of America,http://www.ldaamerica.org,"To develop scientists’ consensus on environmental contributors to neurodevelopmental disorders for which there is sufficient evidence to warrant action, and to use that consensus to generate recommendations for policymakers and health professionals aimed at significantly reducing harm from chemicals exposure, particularly during gestation and the early years of a child’s life.",Health and Environment,,"$75,000"
12/2015,Maine Farmland Trust,http://www.mainefarmlandtrust.org,To assist Maine farms in scaling up to serve wholesale markets.,Regional Food Systems,,"$50,000"
12/2015,Massachusetts Farm to School,http://www.massfarmtoschool.org,"To develop a robust farm to school network that expands outreach and education for farmers, distributors, and farm service providers about institutional sales opportunities.",Regional Food Systems,,"$40,000"
12/2015,Migrant Justice,http://www.migrantjustice.net/,"To create a successful model that demonstrates the possibility for farmworkers, farmers, and retailers to align values, work cooperatively, and create a more fair food system in response to arowing demands for equity from workers and consumers.",Regional Food Systems,,"$50,000"
12/2015,Oregon Environmental Council,http://www.oeconline.org/,"To ensure strong implementation of Oregon’s new chemical regulatory regime under the Toxic-Free Kids Act, and to expand the OEC’s Healthy Purchasing Initiative to more states.",Health and Environment,,"$75,000"
12/2015,Plug In America,http://www.pluginamerica.org,To expand public awareness and experience of plug-in electric vehicles in Connecticut and Rhode Island as a way of increasing electric vehicle ownership.,Clean Energy,Increase Efficiency/Renewables,"$80,000"
12/2015,Science Communication Network,http://www.sciencecommunicationnetwork.org/,"To increase interaction between environmental health scientists and the media by identifying, prioritizing, and publicizing important, new research that has the power to aid science-based advocacy campaigns and inform policy decisions.",Health and Environment,,"$50,000"
12/2015,"Second Nature, Inc.",http://www.secondnature.org,To assist New England colleges and universities in meeting their Climate Commitments to reduce carbon emissions toward the goal of carbon neutrality; and to make New England a model for climate action among higher education institutions nationwide.,Clean Energy,Increase Efficiency/Renewables,"$100,000"
12/2015,Stanford University,http://www.med.stanford.edu/profiles/scott-hall?tab=bio,To conduct research by Scott Hall on Fragile X syndrome. Four-year grant 2015-2019.,Developmental Disabilities,Translational Research Program,"$1,000,000"
12/2015,Vermont Energy Investment Corporation,http://www.veic.org,To accelerate the deployment of plug-in electric vehicles in Vermont.,Clean Energy,Increase Efficiency/Renewables,"$100,000"
12/2015,Vermont Public Interest Research and Education Fund,http://www.vpirg.org,To increase uses of renewable energy and efficiency as climate change solutions.,Clean Energy,Increase Efficiency/Renewables,"$50,000"
